                       country    confirmed     deaths          continent
149                    Burundi       54,721         38             Africa
150                 Seychelles       51,220        172             Africa
151                      Gabon       49,051        307             Africa
152                    Andorra       48,015        165             Europe
153           Papua New Guinea       46,864        670  Australia/Oceania
154                    Curaçao       45,986        295      North America
155                      Aruba       44,224        292      North America
156                   Tanzania       43,223        846             Africa
157                  Mauritius       43,025      1,051             Africa
158                    Mayotte       42,027        188             Africa
159                       Togo       39,572        290             Africa
160                     Guinea       38,572        468             Africa
161                    Bahamas       38,084        844      North America
162                Isle of Man       38,008        116             Europe
163                    Lesotho       36,138        723             Africa
164                      Haiti       34,667        860      North America
165             Faeroe Islands       34,658         28             Europe
166                       Mali       33,164        743             Africa
167             Cayman Islands       31,472         37      North America
168                Saint Lucia       30,215        410      North America
169                      Benin       28,036        163             Africa
170                      Macao       27,673        123               Asia
171                    Somalia       27,334      1,361             Africa
172                 Micronesia       26,547         65  Australia/Oceania
173                 San Marino       26,185        128             Europe
174            Solomon Islands       25,954        199  Australia/Oceania
175                      Congo       25,375        386             Africa
176                Timor-Leste       23,460        138               Asia
177               Burkina Faso       22,114        400             Africa
178              Liechtenstein       21,574         94             Europe
179                  Gibraltar       20,550        113             Europe
180                    Grenada       19,693        238      North America
181                    Bermuda       18,860        165      North America
182                South Sudan       18,819        147             Africa
183                  Nicaragua       18,491        225      North America
184                 Tajikistan       17,786        125               Asia
185          Equatorial Guinea       17,229        183             Africa
186                     Monaco       17,181         67             Europe
187                      Samoa       17,006         31  Australia/Oceania
188                      Tonga       16,950         13  Australia/Oceania
189           Marshall Islands       16,138         17  Australia/Oceania
190                   Dominica       16,038         74      North America
191                   Djibouti       15,690        189             Africa
192   Central African Republic       15,440        113             Africa
193                     Gambia       12,626        372             Africa
194               Saint Martin       12,324         63      North America
195                    Vanuatu       12,019         14  Australia/Oceania
196                  Greenland       11,971         21      North America
197                      Yemen       11,945      2,159               Asia
198      Caribbean Netherlands       11,682         38      North America
199               Sint Maarten       11,051         92      North America
200                    Eritrea       10,189        103             Africa
201                      Niger        9,931        312             Africa
202   St. Vincent & Grenadines        9,674        124      North America
203              Guinea-Bissau        9,614        177             Africa
204                    Comoros        9,109        161             Africa
205        Antigua and Barbuda        9,106        146      North America
206                    Liberia        8,090        295             Africa
207               Sierra Leone        7,779        126             Africa
208                       Chad        7,701        194             Africa
209     British Virgin Islands        7,392         64      North America
210               Cook Islands        7,203          2  Australia/Oceania
211        Sao Tome & Principe        6,778         80             Africa
212           Turks and Caicos        6,752         40      North America
213        Saint Kitts & Nevis        6,607         48      North America
214                      Palau        6,290         10  Australia/Oceania
215           Saint Barthelemy        5,507          6      North America
216                      Nauru        5,393          1  Australia/Oceania
217                   Kiribati        5,085         24  Australia/Oceania
218                   Anguilla        3,904         12      North America
219            Wallis & Futuna        3,550          8  Australia/Oceania
220    Saint Pierre & Miquelon        3,452          2      North America
221                     Tuvalu        2,943          1  Australia/Oceania
222               Saint Helena        2,166          0             Africa
223           Falkland Islands        1,930          0      South America
224                 Montserrat        1,403          8      North America
225                       Niue        1,059          0  Australia/Oceania
226                    Tokelau           80          0  Australia/Oceania
227                   Holy See           29          0             Europe
228             Western Sahara           10          1             Africa
229                 MS Zaandam            9          2                   
